service_id,date,exception_type
1,20260524,2
1,20260531,2
1,20260607,2
1,20260614,2
1,20260621,2
1,20260628,2
1,20260705,2
1,20260712,1
1,20260719,2
1,20260726,2
1,20260802,2
1,20260809,2
2,20260522,1
2,20260529,2
2,20260605,2
2,20260612,2
2,20260619,2
2,20260626,2
2,20260703,2
2,20260710,2
2,20260717,2
2,20260724,2
2,20260731,2
2,20260807,2
2,20260814,2
3,20260522,2
3,20260529,2
3,20260605,2
3,20260612,2
3,20260619,1
3,20260626,2
3,20260703,1
3,20260710,2
3,20260717,2
3,20260724,2
3,20260731,2
3,20260807,2
3,20260814,2
4,20260704,2
4,20260711,2
5,20260522,2
5,20260529,2
5,20260605,2
5,20260612,2
5,20260619,2
5,20260626,2
5,20260703,2
5,20260710,1
5,20260717,2
5,20260724,2
5,20260731,2
5,20260807,2
5,20260814,2
6,20260522,2
6,20260619,2
6,20260703,2
6,20260710,2
7,20260518,1
7,20260519,1
7,20260520,1
7,20260521,1
7,20260525,2
7,20260526,1
7,20260527,1
7,20260528,2
7,20260601,2
7,20260602,2
7,20260603,2
7,20260604,2
7,20260608,2
7,20260609,2
7,20260610,2
7,20260611,2
7,20260615,2
7,20260616,2
7,20260617,2
7,20260618,2
7,20260622,2
7,20260623,2
7,20260624,2
7,20260625,2
7,20260629,2
7,20260630,2
7,20260701,2
7,20260702,2
7,20260706,2
7,20260707,2
7,20260708,2
7,20260709,2
7,20260713,2
7,20260714,2
7,20260715,2
7,20260716,2
7,20260720,2
7,20260721,2
7,20260722,2
7,20260723,2
7,20260727,2
7,20260728,2
7,20260729,2
7,20260730,2
7,20260803,2
7,20260804,2
7,20260805,2
7,20260806,2
7,20260810,2
7,20260811,2
7,20260812,2
7,20260813,2
8,20260518,2
8,20260519,2
8,20260520,2
8,20260521,2
8,20260525,2
8,20260526,2
8,20260527,2
9,20260523,2
9,20260530,2
9,20260606,2
9,20260613,2
9,20260620,2
9,20260627,2
9,20260704,1
9,20260711,2
9,20260718,2
9,20260725,2
9,20260801,2
9,20260808,2
9,20260815,2
10,20260523,2
10,20260530,2
10,20260606,2
10,20260613,2
10,20260620,2
10,20260627,2
10,20260704,2
10,20260711,1
10,20260718,2
10,20260725,2
10,20260801,2
10,20260808,2
10,20260815,2
11,20260518,2
11,20260525,1
11,20260601,2
11,20260608,2
11,20260615,2
11,20260622,2
11,20260629,2
11,20260706,2
11,20260713,2
11,20260720,2
11,20260727,2
11,20260803,2
11,20260810,2
